Product Name,Price,Brand,Size,Display
Westinghouse 139 cm (55 inches) Quantum Series Ultra HD LED Google TV WH55GTX40 (Black),"INR 28,999",WESTINGHOUSE,55,LED
Samsung 139 cm (55 inches) The Frame Series 4K Ultra HD Smart QLED TV QA55LS03BAKLXL (Black),"INR 84,800",SAMSUNG,55,QLED
LG 139 cm (55 inches) 4K Ultra HD Smart NanoCell TV 55NANO73SQA (Ashed Blue),"INR 56,990",LG,55,LED
Samsung 138 cm (55 inches) Crystal iSmart 4K Ultra HD Smart LED TV UA55CUE60AKLXL (Black),"INR 42,990",SAMSUNG,55,LED
Mi 138.8 cm (55 inches) 5X Series 4K LED Smart Android TV with Dolby Vision & 40W Dolby Atmos (Grey),"INR 46,999",MI,55,LED
Samsung 138 cm (55 inches) 4K Ultra HD Smart NEO QLED TV QA55QN85BAKLXL (Bright Silver),"INR 94,890",SAMSUNG,55,QLED
Samsung 138 cm (55 inches) Crystal 4K Series Ultra HD Smart LED TV UA55AUE60AKLXL (Black),"INR 45,990",SAMSUNG,55,LED
Blaupunkt 139 cm (55 inches) Cyber Sound G2 Series 4k Ultra HD LED Google TV 55CSGT7023 (Black),"INR 28,999",BLAUPUNKT,55,LED
Panasonic 139 cm (55 inches) 4K Ultra HD Smart LED Google TV TH-55MX660DX (Black),"INR 46,990",PANASONIC,55,LED
Hisense 139 cm (55 inches) Tornado 2.0 Series 4K Ultra HD Smart LED Google TV 55A7H (Silver),"INR 32,999",HISENSE,55,LED
Samsung 138 cm (55 inches) 4K Ultra HD Smart QLED TV QA55Q60AAKLXL (Black),"INR 59,990",SAMSUNG,55,QLED
iFFALCON 147 cm (58 inches) 4K Ultra HD Smart LED Google TV iFF58U62 (Black),"INR 33,999",IFFALCON,58,LED
Samsung 163 cm (65 inches) 4K Ultra HD Smart Neo QLED TV QA65QN85CAKLXL (Titan Black),"INR 1,49,990",SAMSUNG,65,QLED
OnePlus 163 cm (65 inches) Q Series 4K Ultra HD QLED Smart Google TV 65 Q2 Pro (Black),"INR 79,999",ONEPLUS,65,QLED
Sony Bravia 164 cm (65 inches) 4K Ultra HD Smart LED Google TV KD-65X74L (Black),"INR 77,990",SONY,65,LED
Samsung 163 cm (65 inches) 4K Ultra HD Smart Neo QLED TV QA65QN90BAKLXL (Titan Black),"INR 1,69,990",SAMSUNG,65,QLED
Samsung 163 cm (65 inches) 8K Ultra HD Smart Neo QLED TV QA65QN800CKXXL (Titan Black),"INR 2,99,990",SAMSUNG,65,QLED
Samsung 163 cm (65 inches) 4K Ultra HD Smart Neo QLED TV QA65QN90CAKLXL (Carbon Silver),"INR 1,79,990",SAMSUNG,65,QLED
OnePlus 163.8 cm (65 inches) U Series 4K LED Smart Android TV 65U1S (Black),"INR 49,999",ONEPLUS,65,LED
Panasonic 164 cm (65 inches) 4K Ultra HD Smart LED Google TV TH-65MX660DX (Black),"INR 69,990",PANASONIC,65,LED
Blaupunkt 164 cm (65 inches) Quantam Dot Series 4K Ultra HD QLED Google TV 65QD7030 (Black),"INR 47,999",BLAUPUNKT,65,QLED
LG 164 cm (65 inches) 4K Ultra HD Smart LED TV 65UQ7500PSF (Ceramic Black),"INR 69,990",LG,65,LED
TCL 164 cm (65 inches) Bezel-Less Series 4K Ultra HD Smart LED Google TV 65P635 (Black),"INR 49,990",TCL,65,LED
Redmi 164 cm (65 inches) 4K Ultra HD Android Smart LED TV X65 | L65M6-RA (Black),"INR 59,999",REDMI,65,LED
Vu 164 cm (65 inches) The GloLED Series 4K Smart LED Google TV 65GloLED (Grey),"INR 55,999",VU,65,OLED
Vu 164 cm (65 inches) The Masterpiece Glo Series 4K Ultra HD Smart Android QLED TV 65QMP (Armani Gold),"INR 89,990",VU,65,QLED
Sony Bravia 164 cm (65 inches) 4K Ultra HD Smart LED Google TV KD-65X75L (Black),"INR 85,490",SONY,65,LED
LG 164 cm (65 inches) 4K Ultra HD Smart LED TV 65UQ8020PSB (Dark Iron Gray),"INR 74,990",LG,65,LED
"Kodak 164 Cm (65 Inches) Matrix Series 4K Ultra Hd Smart QLED Google Tv 65Mt5033, Black","INR 46,999",KODAK,65,QLED
Acer 164 cm (65 inches) W Series 4K Ultra HD QLED Smart Android TV AR65AR2851QD (Metallic Grey),"INR 64,999",ACER,65,QLED
Westinghouse 164 cm (65 inches) Quantum Series Ultra HD LED Google TV WH65GTX50 (Rose Gold),"INR 43,999",WESTINGHOUSE,65,LED
Samsung 165 cm (65 inches) The Frame Series 4K Ultra HD Smart QLED TV QA65LS03BAKLXL (Black),"INR 1,30,499",SAMSUNG,65,QLED
Sony Bravia 164 cm (65 inches) 4K Ultra HD Smart LED Google TV KD-65X74K (Black),"INR 69,990",SONY,65,LED
Samsung 163 cm (65 inches) Crystal iSmart 4K Ultra HD Smart LED TV UA65CUE60AKLXL (Black),"INR 64,990",SAMSUNG,65,LED
Sony Bravia 164 cm (65 inches) XR Series 4K Ultra HD Smart OLED Google TV XR-65A95K (Black),"INR 2,64,990",SONY,65,OLED
Mi 189.34cm (75 inches) Q1 Series 4K Smart QLED TV with Full Array Local Dimming & 120Hz Refresh Rate (Metallic Grey),"INR 1,29,999",MI,75,QLED
Vu 189 cm (75 inches) The Masterpiece Glo Series 4K Ultra HD Smart Android QLED TV 75QMP (Armani Gold) (2022 Model) | Built in 4.1 Speaker,"INR 1,19,999",VU,75,QLED
Blaupunkt 189 cm (75 inches) Quantam Dot Series 4K Ultra HD QLED Google TV 75QD7040 (Black),"INR 89,999",BLAUPUNKT,75,QLED
Samsung 189 cm (75 inches) 8K Ultra HD Smart Neo QLED TV QA75QN800CKXXL (Titan Black),"INR 5,50,000",SAMSUNG,75,QLED
Samsung 190 cm (75 inches) The Frame Series 4K Ultra HD Smart QLED TV QA75LS03BAKXXL (Black),"INR 2,47,990",SAMSUNG,75,QLED
Samsung 189 cm (75 inches) 4K Ultra HD Smart Neo QLED TV QA75QN90BAKXXL (Titan Black),"INR 3,34,990",SAMSUNG,75,QLED
Sony Bravia 195 cm (77 inches) XR series 4K Ultra HD Smart OLED Google TV XR-77A80J (Black),"INR 5,22,490",SONY,77,OLED
Sony Bravia 215 cm (85 inches) 4K Ultra HD Smart LED Google TV KD-85X80L (Black),"INR 2,94,490",SONY,85,LED
Samsung 214 cm (85 inches) 4K Ultra HD Smart Neo QLED TV QA85QN90BAKXXL (Titan Black),"INR 4,74,990",SAMSUNG,85,QLED
Vu 215cm (85 inches) The Masterpiece 4K Ultra HD Android QLED TV 85QPX (Armani Gold) (2020 Model),"INR 2,59,999",VU,85,QLED
Vu 215 cms (85 inches) Masterpiece Series 4K Ultra HD Smart QLED TV 85QV (Jetplane Grey),"INR 2,94,999",VU,85,QLED
Samsung 214 cm (85 inches) 8K Ultra HD Smart Neo QLED TV QA85QN900AKXXL (Steel),"INR 11,49,990",SAMSUNG,85,QLED
Samsung 214 cm (85 inches) 8K Ultra HD Smart Neo QLED TV QA85QN900CKXXL (Titan Black),"INR 8,99,990",SAMSUNG,85,QLED
